Date and Time,SHA256_Hash,Filename
"2025-10-22 13:48:00.042246",caa39203050ed0fbfeb7309eea7a8733ca31a65197b19b562864179855c32689,"Screenshot 2024-11-26 112610.png"
"2025-10-22 13:48:00.044246",70e5c56af68eeb058f58009c775f14c6a2434add566063279e49054c64e3b0c4,"Screenshot 2024-11-26 141933.png"
"2025-10-22 13:48:00.045246",81c7ba0ffedcb6b35dce42923658449965c73d712ccf84eaae0e019e2189563e,"Screenshot 2024-11-26 232451.png"
"2025-10-22 13:48:00.046246",ac554a923dc9930786452c026e4e26e4cc17dec078ca6b39406387e686c10019,"Screenshot 2024-11-28 110552.png"
"2025-10-22 13:48:00.046246",39e4bfe730ae9e1dfcff19831fa7fdf50de33494086e2bd4860b55bbf5fa2f5f,"Screenshot 2024-11-28 110624.png"
"2025-10-22 13:48:00.047248",a7fcedbf485bf7345d36aa75dfa1c718610fee041b323ee1be534facb93532a6,"Screenshot 2024-11-28 110633.png"
"2025-10-22 13:48:00.048246",eb853406ed0692f023a72b5a3fa9aad507e1471fa76347668ef912df43e888d1,"Screenshot 2024-11-28 110645.png"
"2025-10-22 13:48:00.049246",44ed2cebddb3af19eb4f9b84ad9c23c182f3c2e6745475ef7263c12c9afe3322,"Screenshot 2024-11-30 135828.png"
"2025-10-22 13:48:00.050247",3ef52092577fb93b6e6c56ececf70c7446243cae0632029548f7862a16415d32,"Screenshot 2024-11-30 150407.png"
"2025-10-22 13:48:00.051247",fb42296c9fa6937024c3d143fb89b48a07423b4ab1509c7719892fcc8502b7b8,"Screenshot 2024-12-02 201700.png"
"2025-10-22 13:48:00.052274",2e265a704b223d0073d0e788f43cf341cc8a414de93ff73b35ab5de62d488a52,"Screenshot 2024-12-03 131548.png"
"2025-10-22 13:48:00.053246",7b941558cf7397996963a973dcfe90e5ea31624cd84148b1157e86c94d34bcac,"Screenshot 2024-12-03 131553.png"
"2025-10-22 13:48:00.053246",27af72a039e0f65036151f6d0836156dee43fe17bb13e4594352b7efe2a4edf0,"Screenshot 2024-12-05 124000.png"
"2025-10-22 13:48:00.054244",b41033716ddb795eb4281a060f6ad436923316700513ff565d4f3c11089cb439,"Screenshot 2024-12-05 124059.png"
"2025-10-22 13:48:00.055247",9b684cd12550d710d94692f120824f28ee0231d6600a77590256a9c03fbe5272,"Screenshot 2024-12-05 124139.png"
"2025-10-22 13:48:00.056245",97b56e3d8c9bcf5466ac62dd9527eb3ea8a2e3c46cde6497c9677c131543c7d8,"Screenshot 2024-12-05 124205.png"
"2025-10-22 13:48:00.057246",5812105499234062b3a5566ba8748b867c2640f8b87a41b6dabbd9e5555950c2,"Screenshot 2024-12-05 124234.png"
"2025-10-22 13:48:00.058247",cc3ab469d50e32f6673f2ec94c93405c90b3676c55d6b09cb8533fcff5ee678c,"Screenshot 2024-12-05 124408.png"
"2025-10-22 13:48:00.059247",735c8ae063c56eb319d490e5227c3f7b9f9b0eeff88843e902efad0a41cb2c07,"Screenshot 2024-12-05 124459.png"
"2025-10-22 13:48:00.060247",95a68b52cbd35399a60655b6b04000376b019727533263216351cf4173b62254,"Screenshot 2024-12-05 124524.png"
